-81.682,196.69,-117.06,-64.552,196.7,-116.23,-55.852,104.88,-111.45,-47.939,17.202,-128.9,-47.939,9.4042,-128.73,-98.811,196.67,-117.9,-108.38,105.02,-123.94,-117.18,16.868,-138.32,-117.18,9.0679,-138.32,-81.728,219.53,-116.42,-82.241,252.34,-117.86,-77.59,272.96,-107.99,-49.493,265.59,-108.2,-37.534,206.43,-110.48,-36.598,160.54,-93.031,-36.798,142.95,-87.562,-88.176,272.88,-108.53,-113.04,256.63,-102.54,-122.25,202.06,-105.1,-123.88,156.41,-87.093,-125.08,139.37,-81.91,-82.431,272.58,-117.06,-82.898,298.51,-117.69,-82.777,308.38,-120.82
-81.663,196.68,-117.05,-64.533,196.7,-116.22,-55.835,104.88,-111.44,-47.958,17.203,-128.91,-47.957,9.4047,-128.74,-98.793,196.67,-117.88,-108.38,105.02,-123.97,-117.2,16.869,-138.33,-117.2,9.0692,-138.33,-81.712,219.53,-116.41,-82.194,252.34,-117.87,-77.541,272.96,-107.99,-49.448,265.57,-108.22,-37.474,206.41,-110.55,-36.581,160.59,-92.942,-36.838,143,-87.434,-88.127,272.88,-108.53,-113,256.65,-102.54,-122.28,202.09,-105.16,-123.9,156.46,-87.104,-125.1,139.43,-81.901,-82.383,272.57,-117.07,-82.841,298.51,-117.71,-82.714,308.38,-120.84
-81.643,196.68,-117.04,-64.513,196.7,-116.22,-55.817,104.88,-111.43,-47.977,17.203,-128.92,-47.976,9.4051,-128.74,-98.774,196.67,-117.86,-108.38,105.02,-123.99,-117.22,16.87,-138.34,-117.22,9.0704,-138.34,-81.694,219.52,-116.4,-82.147,252.34,-117.88,-77.49,272.96,-108,-49.402,265.55,-108.25,-37.41,206.4,-110.61,-36.563,160.63,-92.843,-36.875,143.07,-87.297,-88.076,272.88,-108.54,-112.96,256.67,-102.55,-122.3,202.13,-105.23,-123.92,156.52,-87.11,-125.12,139.5,-81.885,-82.334,272.57,-117.08,-82.783,298.51,-117.72,-82.652,308.37,-120.85
-81.622,196.68,-117.03,-64.491,196.7,-116.21,-55.8,104.88,-111.42,-47.998,17.204,-128.93,-47.997,9.4056,-128.75,-98.753,196.66,-117.84,-108.37,105.03,-124.02,-117.24,16.872,-138.35,-117.24,9.0717,-138.35,-81.675,219.52,-116.38,-82.1,252.34,-117.88,-77.438,272.96,-108.01,-49.355,265.53,-108.27,-37.344,206.38,-110.68,-36.542,160.69,-92.732,-36.908,143.13,-87.151,-88.024,272.88,-108.54,-112.93,256.69,-102.56,-122.34,202.17,-105.31,-123.95,156.59,-87.108,-125.15,139.57,-81.861,-82.284,272.57,-117.09,-82.726,298.51,-117.74,-82.589,308.37,-120.87
-81.599,196.68,-117.01,-64.468,196.7,-116.2,-55.781,104.88,-111.41,-48.021,17.204,-128.94,-48.02,9.4061,-128.76,-98.73,196.66,-117.82,-108.37,105.03,-124.06,-117.27,16.873,-138.36,-117.27,9.0732,-138.36,-81.654,219.52,-116.37,-82.053,252.33,-117.89,-77.385,272.95,-108.02,-49.307,265.51,-108.3,-37.276,206.37,-110.75,-36.521,160.75,-92.612,-36.938,143.21,-86.995,-87.972,272.88,-108.55,-112.89,256.71,-102.57,-122.38,202.2,-105.4,-123.99,156.67,-87.096,-125.19,139.66,-81.826,-82.233,272.57,-117.1,-82.668,298.5,-117.76,-82.527,308.37,-120.89
-81.575,196.68,-117,-64.443,196.7,-116.2,-55.763,104.88,-111.39,-48.045,17.205,-128.95,-48.044,9.4067,-128.77,-98.706,196.66,-117.8,-108.37,105.03,-124.1,-117.29,16.875,-138.38,-117.29,9.0747,-138.37,-81.631,219.52,-116.36,-82.005,252.33,-117.9,-77.332,272.95,-108.03,-49.258,265.49,-108.32,-37.206,206.36,-110.82,-36.5,160.82,-92.487,-36.967,143.29,-86.824,-87.919,272.88,-108.56,-112.85,256.73,-102.58,-122.43,202.25,-105.5,-124.04,156.76,-87.072,-125.23,139.76,-81.781,-82.181,272.56,-117.1,-82.611,298.5,-117.78,-82.465,308.36,-120.92
-81.548,196.68,-116.98,-64.417,196.7,-116.19,-55.746,104.88,-111.38,-48.071,17.206,-128.96,-48.07,9.4074,-128.79,-98.68,196.65,-117.78,-108.36,105.03,-124.14,-117.32,16.876,-138.39,-117.32,9.0764,-138.39,-81.607,219.52,-116.34,-81.959,252.33,-117.9,-77.279,272.95,-108.04,-49.209,265.47,-108.35,-37.137,206.34,-110.9,-36.481,160.89,-92.358,-36.995,143.38,-86.634,-87.865,272.88,-108.57,-112.81,256.76,-102.6,-122.49,202.29,-105.6,-124.1,156.86,-87.037,-125.27,139.86,-81.739,-82.129,272.56,-117.11,-82.556,298.5,-117.8,-82.405,308.36,-120.94
-81.52,196.67,-116.97,-64.388,196.7,-116.18,-55.729,104.88,-111.37,-48.099,17.206,-128.97,-48.098,9.4082,-128.8,-98.652,196.65,-117.76,-108.36,105.04,-124.19,-117.34,16.878,-138.4,-117.34,9.0783,-138.4,-81.581,219.52,-116.33,-81.913,252.33,-117.91,-77.225,272.95,-108.05,-49.16,265.45,-108.38,-37.068,206.33,-110.98,-36.464,160.96,-92.225,-37.023,143.48,-86.427,-87.812,272.88,-108.57,-112.78,256.78,-102.61,-122.56,202.34,-105.71,-124.17,156.97,-86.998,-125.32,139.96,-81.698,-82.078,272.56,-117.12,-82.501,298.5,-117.81,-82.347,308.36,-120.96
-81.489,196.67,-116.95,-64.357,196.7,-116.17,-55.714,104.88,-111.35,-48.128,17.207,-128.99,-48.128,9.409,-128.82,-98.621,196.65,-117.73,-108.35,105.04,-124.25,-117.37,16.88,-138.42,-117.37,9.0802,-138.42,-81.552,219.51,-116.31,-81.867,252.32,-117.92,-77.171,272.94,-108.06,-49.11,265.43,-108.4,-37,206.32,-111.07,-36.449,161.04,-92.088,-37.05,143.59,-86.202,-87.758,272.88,-108.58,-112.74,256.8,-102.62,-122.64,202.39,-105.82,-124.24,157.08,-86.957,-125.38,140.08,-81.647,-82.026,272.56,-117.13,-82.447,298.49,-117.83,-82.29,308.35,-120.98
-81.456,196.67,-116.94,-64.324,196.7,-116.16,-55.699,104.88,-111.34,-48.161,17.208,-129.01,-48.16,9.41,-128.84,-98.589,196.64,-117.71,-108.36,105.05,-124.24,-117.4,16.889,-138.44,-117.4,9.0885,-138.44,-81.521,219.51,-116.29,-81.823,252.32,-117.92,-77.117,272.94,-108.07,-49.061,265.41,-108.43,-36.932,206.31,-111.16,-36.436,161.13,-91.947,-37.077,143.71,-85.957,-87.704,272.88,-108.59,-112.7,256.82,-102.63,-122.72,202.44,-105.94,-124.32,157.21,-86.913,-125.43,140.21,-81.575,-81.974,272.55,-117.14,-82.395,298.49,-117.85,-82.234,308.35,-121
